###############################
############ K = 2 ############
###############################

Server    U         X         Nsr       
0         0.593237  118.647   1.41745   
1         0.237295  11.8647   0.310267  
2         0.177971  11.8647   0.216123  
3         0.177971  11.8647   0.216123  
4         0.925449  46.2725   6.42002   
5         0.925449  46.2725   6.42002   

T = 1.26425

###############################
############ K = 3 ############
###############################

Server    U         X         Nsr       
0         0.797092  159.418   3.12848   
1         0.318837  15.9418   0.463587  
2         0.239128  15.9418   0.312488  
3         0.239128  15.9418   0.312488  
4         0.828975  41.4488   3.59432   
5         0.828975  41.4488   3.59432   
6         0.828975  41.4488   3.59432   

T = 0.940921

###############################
############ K = 4 ############
###############################

Server    U         X         Nsr       
0         0.909929  181.986   5.06255   
1         0.363971  18.1986   0.564297  
2         0.272979  18.1986   0.372517  
3         0.272979  18.1986   0.372517  
4         0.709744  35.4872   2.15703   
5         0.709744  35.4872   2.15703   
6         0.709744  35.4872   2.15703   
7         0.709744  35.4872   2.15703   

T = 0.82424

###############################
############ K = 5 ############
###############################

Server    U         X         Nsr       
0         0.958611  191.722   6.51962   
1         0.383445  19.1722   0.613722  
2         0.287583  19.1722   0.400779  
3         0.287583  19.1722   0.400779  
4         0.598174  29.9087   1.41302   
5         0.598174  29.9087   1.41302   
6         0.598174  29.9087   1.41302   
7         0.598174  29.9087   1.41302   
8         0.598174  29.9087   1.41302   

T = 0.782382

###############################
############ K = 6 ############
###############################

Server    U         X         Nsr       
0         0.978683  195.737   7.46469   
1         0.391473  19.5737   0.636316  
2         0.293605  19.5737   0.413261  
3         0.293605  19.5737   0.413261  
4         0.508915  25.4458   1.01208   
5         0.508915  25.4458   1.01208   
6         0.508915  25.4458   1.01208   
7         0.508915  25.4458   1.01208   
8         0.508915  25.4458   1.01208   
9         0.508915  25.4458   1.01208   

T = 0.766336

###############################
############ K = 7 ############
###############################

Server    U         X         Nsr       
0         0.9876    197.52    8.07606   
1         0.39504   19.752    0.647255  
2         0.29628   19.752    0.419129  
3         0.29628   19.752    0.419129  
4         0.440187  22.0094   0.776918  
5         0.440187  22.0094   0.776918  
6         0.440187  22.0094   0.776918  
7         0.440187  22.0094   0.776918  
8         0.440187  22.0094   0.776918  
9         0.440187  22.0094   0.776918  
10        0.440187  22.0094   0.776918  

T = 0.759417

###############################
############ K = 8 ############
###############################

Server    U         X         Nsr       
0         0.991997  198.399   8.48873   
1         0.396799  19.8399   0.653057  
2         0.297599  19.8399   0.422163  
3         0.297599  19.8399   0.422163  
4         0.386879  19.3439   0.626736  
5         0.386879  19.3439   0.626736  
6         0.386879  19.3439   0.626736  
7         0.386879  19.3439   0.626736  
8         0.386879  19.3439   0.626736  
9         0.386879  19.3439   0.626736  
10        0.386879  19.3439   0.626736  
11        0.386879  19.3439   0.626736  

T = 0.756051

###############################
