###############################################
#################### K = 2 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.60618   121.236   1.51558   12.5011   
1         0.242472  12.1236   0.31962   26.3635   
2         0.181854  12.1236   0.222071  18.3173   
3         0.181854  12.1236   0.222071  18.3173   
4         0.945641  47.282    8.86033   187.393   
5         0.945641  47.282    8.86033   187.393   

T = 1.64967s

###############################################
#################### K = 3 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.836175  167.235   4.1165    24.615    
1         0.33447   16.7235   0.499577  29.8728   
2         0.250852  16.7235   0.333687  19.9532   
3         0.250852  16.7235   0.333687  19.9532   
4         0.869622  43.4811   4.90552   112.82    
5         0.869622  43.4811   4.90552   112.82    
6         0.869622  43.4811   4.90552   112.82    

T = 1.19592s

###############################################
#################### K = 4 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.955149  191.03    7.94208   41.5751   
1         0.38206   19.103    0.613562  32.1186   
2         0.286545  19.103    0.399944  20.9362   
3         0.286545  19.103    0.399944  20.9362   
4         0.745016  37.2508   2.66112   71.4378   
5         0.745016  37.2508   2.66112   71.4378   
6         0.745016  37.2508   2.66112   71.4378   
7         0.745016  37.2508   2.66112   71.4378   

T = 1.04696s

###############################################
#################### K = 5 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.98884   197.768   10.6291   53.7455   
1         0.395536  19.7768   0.651321  32.9336   
2         0.296652  19.7768   0.420751  21.275    
3         0.296652  19.7768   0.420751  21.275    
4         0.617036  30.8518   1.57561   51.0702   
5         0.617036  30.8518   1.57561   51.0702   
6         0.617036  30.8518   1.57561   51.0702   
7         0.617036  30.8518   1.57561   51.0702   
8         0.617036  30.8518   1.57561   51.0702   

T = 1.01129s

###############################################
#################### K = 6 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.996681  199.336   12.0694   60.5481   
1         0.398672  19.9336   0.661385  33.1794   
2         0.299004  19.9336   0.426033  21.3726   
3         0.299004  19.9336   0.426033  21.3726   
4         0.518274  25.9137   1.06952   41.2725   
5         0.518274  25.9137   1.06952   41.2725   
6         0.518274  25.9137   1.06952   41.2725   
7         0.518274  25.9137   1.06952   41.2725   
8         0.518274  25.9137   1.06952   41.2725   
9         0.518274  25.9137   1.06952   41.2725   

T = 1.00333s

###############################################
#################### K = 7 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.99876   199.752   12.875    64.4547   
1         0.399504  19.9752   0.664402  33.2614   
2         0.299628  19.9752   0.427545  21.4038   
3         0.299628  19.9752   0.427545  21.4038   
4         0.445162  22.2581   0.800792  35.9776   
5         0.445162  22.2581   0.800792  35.9776   
6         0.445162  22.2581   0.800792  35.9776   
7         0.445162  22.2581   0.800792  35.9776   
8         0.445162  22.2581   0.800792  35.9776   
9         0.445162  22.2581   0.800792  35.9776   
10        0.445162  22.2581   0.800792  35.9776   

T = 1.00124s

###############################################
#################### K = 8 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.999435  199.887   13.3722   66.8987   
1         0.399774  19.9887   0.665497  33.2936   
2         0.299831  19.9887   0.428069  21.4156   
3         0.299831  19.9887   0.428069  21.4156   
4         0.38978   19.489    0.638273  32.7504   
5         0.38978   19.489    0.638273  32.7504   
6         0.38978   19.489    0.638273  32.7504   
7         0.38978   19.489    0.638273  32.7504   
8         0.38978   19.489    0.638273  32.7504   
9         0.38978   19.489    0.638273  32.7504   
10        0.38978   19.489    0.638273  32.7504   
11        0.38978   19.489    0.638273  32.7504   

T = 1.00056s

###############################################
