###############################################
#################### K = 2 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.591956  118.5     1.6862    14.2296   
1         0.223003  12.5      0.313797  25.1038   
2         0.187827  13.4      0.288563  21.5346   
3         0.172058  11.8      0.24827   21.0399   
4         0.876218  43.4      3.26129   75.145    
5         0.954534  46.1      4.20187   91.1469   

T = 0.845516s

###############################################
#################### K = 3 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.739431  142.5     2.41896   16.9752   
1         0.255924  13.8      0.356759  25.8521   
2         0.256093  16.4      0.34768   21.2      
3         0.181555  12.6      0.270343  21.4558   
4         0.765     36.1      2.04976   56.7802   
5         0.789734  39.2      2.51244   64.0929   
6         0.76103   36.8      2.04405   55.5448   

T = 0.621974s

###############################################
#################### K = 4 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.840974  173.6     2.95521   17.0231   
1         0.333911  18        0.500968  27.8315   
2         0.248328  17.6      0.346143  19.6672   
3         0.295696  18.1      0.390932  21.5984   
4         0.671308  33.9      1.67459   49.398    
5         0.703607  33.5      1.70058   50.7636   
6         0.650743  34.1      1.34891   39.5574   
7         0.569126  32.9      1.08267   32.9078   

T = 0.571151s

###############################################
#################### K = 5 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.856319  179.4     3.33582   18.5943   
1         0.345539  18.2      0.483062  26.5419   
2         0.260151  18.7      0.410509  21.9524   
3         0.25538   17.8      0.370499  20.8145   
4         0.554454  29.8      1.15391   38.7217   
5         0.506269  25.9      0.834356  32.2145   
6         0.548379  27        1.03174   38.2127   
7         0.564855  27.6      1.05068   38.0681   
8         0.638669  30.5      1.32942   43.5876   

T = 0.56799s

###############################################
#################### K = 6 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.899912  178       3.65291   20.5219   
1         0.313629  16.7      0.443781  26.5737   
2         0.22737   17.2      0.317219  18.443    
3         0.248276  17.1      0.375883  21.9814   
4         0.436352  22.2      0.782727  35.258    
5         0.480819  22.7      0.88729   39.0876   
6         0.444309  23.1      0.753938  32.638    
7         0.465232  22.8      0.887018  38.9043   
8         0.539482  24.5      1.16133   47.401    
9         0.45441   23.9      0.737914  30.8751   

T = 0.529587s

###############################################
#################### K = 7 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.936379  187.9     4.01205   21.3521   
1         0.344539  17.3      0.47641   27.5382   
2         0.313321  20        0.463846  23.1923   
3         0.260363  19.1      0.36641   19.1838   
4         0.370682  20.5      0.479487  23.3896   
5         0.375792  19.6      0.642308  32.7708   
6         0.418586  18.6      0.706923  38.0066   
7         0.456978  22.2      0.821795  37.0178   
8         0.40409   21.7      0.644615  29.7058   
9         0.454946  21.8      0.764103  35.0506   
10        0.398385  21.3      0.622051  29.2043   

T = 0.526986s

###############################################
#################### K = 8 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.942497  185.6     4.07493   21.9555   
1         0.407753  20        0.666319  33.3159   
2         0.244027  18.3      0.314883  17.2067   
3         0.315144  18.5      0.475196  25.6863   
4         0.319476  16.8      0.490862  29.218    
5         0.445331  17.9      0.677023  37.8225   
6         0.370911  17.3      0.570757  32.9917   
7         0.395437  19.8      0.642559  32.4525   
8         0.34723   16        0.534987  33.4367   
9         0.385855  18.2      0.667885  36.697    
10        0.297792  16.9      0.435509  25.7698   
11        0.295368  17.7      0.449086  25.3721   

T = 0.460223s

###############################################
