###############################################
#################### K = 2 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.613192  122.5     2.24525   18.3285   
1         0.262139  12.6      0.385895  30.6266   
2         0.186699  10.9      0.252773  23.1902   
3         0.186644  12.7      0.297544  23.4286   
4         0.911112  46.2      7.02971   152.158   
5         0.925858  47.5      9.78883   206.081   

T = 1.28108s

###############################################
#################### K = 3 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.866313  176.6     4.76209   26.9654   
1         0.32376   17.5      0.465934  26.6248   
2         0.235382  15.2      0.377473  24.8337   
3         0.265505  18.4      0.415934  22.6051   
4         0.954827  46.3      6.01456   129.904   
5         0.836579  43        3.2989    76.7186   
6         0.856555  47        4.66511   99.2577   

T = 0.996343s

###############################################
#################### K = 4 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.973058  196       8.53759   43.5591   
1         0.362546  17.7      0.586548  33.1383   
2         0.304877  18        0.456231  25.3462   
3         0.337075  19.9      0.477003  23.97     
4         0.753437  39.8      2.71365   68.1822   
5         0.724822  36.7      1.78264   48.5733   
6         0.749429  37.7      2.66172   70.6027   
7         0.726475  38.6      2.78462   72.1404   

T = 0.905887s

###############################################
#################### K = 5 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.995372  195.7     11.07     56.5659   
1         0.37683   17.7      0.536453  30.3081   
2         0.292143  18.9      0.527094  27.8886   
3         0.308626  21        0.478325  22.7774   
4         0.640486  32.2      1.55911   48.4197   
5         0.646149  29.8      1.71355   57.5016   
6         0.588475  29.5      1.60591   54.4377   
7         0.624634  31        1.31108   42.293    
8         0.548913  30.2      1.19852   39.6862   

T = 0.968229s

###############################################
#################### K = 6 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.99972   199.8     11.8136   59.1272   
1         0.415173  20.6      0.698213  33.8939   
2         0.318501  20.9      0.545389  26.0952   
3         0.285445  19        0.464268  24.4352   
4         0.529957  27.7      1.17552   42.4375   
5         0.49958   27.1      1.13713   41.9606   
6         0.472679  23.6      0.95099   40.2962   
7         0.488751  25.7      1.0944    42.5836   
8         0.55838   27        1.22694   45.4424   
9         0.480154  22.8      0.89353   39.1899   

T = 0.766522s

###############################################
#################### K = 7 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         1.00031   193.8     12.643    65.2374   
1         0.412365  19.1      0.680983  35.6536   
2         0.284692  19.9      0.430735  21.645    
3         0.334699  20.7      0.470953  22.7514   
4         0.492803  22.9      0.948361  41.4132   
5         0.429351  22.3      0.758689  34.0219   
6         0.432855  22.2      0.742304  33.4371   
7         0.483854  23.6      0.936197  39.6693   
8         0.405655  20.2      0.89424   44.2693   
9         0.39956   19.9      0.864697  43.4521   
10        0.340663  18.2      0.629841  34.6067   

T = 0.893292s

###############################################
#################### K = 8 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         1.00077   198.5     13.0195   65.5894   
1         0.385463  18.9      0.572612  30.2969   
2         0.335029  20.3      0.525585  25.8909   
3         0.267878  18.6      0.44152   23.7377   
4         0.389505  19.5      0.656676  33.6757   
5         0.330118  18.7      0.512671  27.4155   
6         0.402328  20.6      0.78192   37.9573   
7         0.3817    18.8      0.753655  40.088    
8         0.428537  20.8      0.82115   39.4784   
9         0.365695  19.1      0.625     32.7225   
10        0.352244  16.7      0.573099  34.3173   
11        0.404032  19.9      0.716618  36.011    

T = 0.921943s

###############################################
