###############################################
#################### K = 2 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.585338  115.69    1.77268   15.3204   
1         0.22071   11.35     0.338613  29.6053   
2         0.164063  11.39     0.251786  22.0469   
3         0.17293   11.56     0.263444  22.6072   
4         0.909301  44.99     3.91427   86.9945   
5         0.882782  44.29     3.4592    78.0368   

T = 0.812587s

###############################################
#################### K = 3 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.735112  145.44    2.45051   16.8277   
1         0.294214  14.5      0.43958   30.1379   
2         0.215815  14.22     0.31452   22.154    
3         0.227182  14.79     0.324688  21.8323   
4         0.773059  38        2.26527   59.4565   
5         0.74873   38.22     2.121     55.4192   
6         0.73268   37.01     2.08443   56.1598   

T = 0.645195s

###############################################
#################### K = 4 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.831204  163.82    3.05729   18.6658   
1         0.334188  16.49     0.493117  29.863    
2         0.258674  16.71     0.380412  22.7001   
3         0.242161  16.22     0.349197  21.449    
4         0.658382  32.31     1.54173   47.8391   
5         0.622973  31.55     1.38637   43.7872   
6         0.63684   31.83     1.43297   45.0065   
7         0.622492  31.62     1.35892   42.9997   

T = 0.577448s

###############################################
#################### K = 5 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.870446  173.64    3.30189   19.0218   
1         0.35996   17.58     0.564104  32.0208   
2         0.252729  17.45     0.362361  20.6775   
3         0.257781  16.86     0.372856  22.1293   
4         0.541023  26.62     1.01797   38.3505   
5         0.546079  27.47     1.08518   39.4306   
6         0.538131  27.27     1.0739    39.3731   
7         0.544757  26.91     1.09366   40.6414   
8         0.559795  27.22     1.12809   41.2703   

T = 0.558656s

###############################################
#################### K = 6 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.899268  178.04    3.6761    20.6467   
1         0.347342  17.11     0.562339  32.7402   
2         0.275203  18.35     0.394105  21.5099   
3         0.275706  17.84     0.412324  22.9929   
4         0.473262  23.39     0.837932  35.5927   
5         0.470023  23.22     0.825378  35.5502   
6         0.466149  23.05     0.869109  37.4498   
7         0.452487  22.6      0.789053  34.8473   
8         0.443973  22.44     0.79625   35.5292   
9         0.467097  23.12     0.83741   36.1399   

T = 0.522869s

###############################################
#################### K = 7 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.917075  184.59    3.79849   20.5789   
1         0.37505   18.47     0.591623  31.9273   
2         0.273292  18.25     0.401824  22.024    
3         0.265708  18.26     0.382973  20.9176   
4         0.413507  20.68     0.690495  33.1392   
5         0.404094  19.75     0.710548  35.9743   
6         0.424456  20.88     0.709469  34.1282   
7         0.406037  19.94     0.639432  32.163    
8         0.415241  20.28     0.675235  33.2798   
9         0.412441  21        0.71043   33.7694   
10        0.401818  20.39     0.68948   33.5876   

T = 0.504514s

###############################################
#################### K = 8 ####################
###############################################

Server    U         X [1/s]   Nsr       R [ms]    
0         0.935391  185.76    4.06021   21.8833   
1         0.37338   18.4      0.587547  31.8896   
2         0.270804  19.1      0.389679  20.439    
3         0.281376  18.89     0.408781  21.6208   
4         0.372966  18.87     0.582971  30.8439   
5         0.357405  18.13     0.554808  30.5546   
6         0.372739  18.59     0.598525  32.2149   
7         0.353235  17.77     0.542765  30.3661   
8         0.369974  17.97     0.583353  32.4117   
9         0.339093  17.63     0.52993   29.905    
10        0.358591  17.15     0.568045  33.1146   
11        0.368489  18.24     0.593385  32.4129   

T = 0.52276s

###############################################
