###############################
############ K = 2 ############
###############################

Server    U         X         Nsr       
0         0.591992  118.904   1.97034   
1         0.247859  12.3      0.379495  
2         0.175777  11.732    0.260845  
3         0.172114  11.556    0.243785  
4         0.924883  45.904    6.08397   
5         0.921633  45.768    6.06157   

T = 1.08682

###############################
############ K = 3 ############
###############################

Server    U         X         Nsr       
0         0.800899  161.12    3.40859   
1         0.334382  15.976    0.52565   
2         0.241135  16.076    0.354616  
3         0.238535  15.5      0.3472    
4         0.842693  41.744    3.5908    
5         0.839027  41.504    3.41397   
6         0.827564  41.144    3.35917   

T = 0.826271

###############################
############ K = 4 ############
###############################

Server    U         X         Nsr       
0         0.914324  182.672   5.08074   
1         0.368317  18.604    0.607417  
2         0.268972  17.872    0.410075  
3         0.27364   17.904    0.421377  
4         0.702159  34.984    1.97754   
5         0.725242  35.924    2.29884   
6         0.70536   35.028    2.04758   
7         0.711708  35.732    2.15643   

T = 0.751107

###############################
############ K = 5 ############
###############################

Server    U         X         Nsr       
0         0.959434  192.472   6.3159    
1         0.392197  19.26     0.676149  
2         0.287506  19.352    0.441526  
3         0.294055  19.224    0.444723  
4         0.612925  30.208    1.52343   
5         0.592704  29.864    1.40535   
6         0.601622  29.7      1.47149   
7         0.584392  29.504    1.33371   
8         0.587153  29.34     1.38773   

T = 0.697126

###############################
############ K = 6 ############
###############################

Server    U         X         Nsr       
0         0.980447  194.996   7.3233    
1         0.394105  19.464    0.678086  
2         0.293568  19.452    0.451474  
3         0.291957  19.044    0.445233  
4         0.487764  24.692    0.972571  
5         0.499576  24.992    0.992612  
6         0.516294  25.216    1.11147   
7         0.500211  24.732    0.994742  
8         0.514977  25.628    1.0346    
9         0.498891  25.548    0.995912  

T = 0.695251

###############################
############ K = 7 ############
###############################

Server    U         X         Nsr       
0         0.988157  198.392   7.62707   
1         0.395394  19.604    0.681917  
2         0.304287  19.924    0.484951  
3         0.307461  20.236    0.488752  
4         0.443321  22.3      0.816537  
5         0.44511   22.028    0.83368   
6         0.432612  21.728    0.784586  
7         0.441523  21.888    0.810351  
8         0.433428  21.648    0.780864  
9         0.448552  22.108    0.827275  
10        0.453346  22.592    0.864019  

T = 0.702275

###############################
############ K = 8 ############
###############################

Server    U         X         Nsr       
0         0.993099  198.992   8.01894   
1         0.399574  19.852    0.697356  
2         0.308276  20.24     0.470583  
3         0.296882  19.76     0.456804  
4         0.390852  19.224    0.681431  
5         0.388422  19.256    0.665576  
6         0.385832  19.22     0.657842  
7         0.39757   19.3      0.666266  
8         0.398404  19.728    0.698799  
9         0.38591   19.152    0.674237  
10        0.378737  19.164    0.676297  
11        0.376521  18.86     0.63587   

T = 0.694911

###############################
